Level,Patch,Accuracy,AUC
3,Corner_TL,0.9654,0.9938909650000002
3,Corner_TR,0.94985,0.98801045
3,Corner_BL,0.9209,0.97490794
3,Corner_BR,0.91785,0.97534108
3,Center_TL,0.9409,0.98511554
3,Center_TR,0.9476,0.98703087
3,Center_BL,0.98335,0.9984765300000001
3,Center_BR,0.975,0.99655536
7,Corner_TL,0.97845,0.99781773
7,Corner_TR,0.9774,0.9976095099999999
7,Corner_BL,0.96255,0.99394669
7,Corner_BR,0.95945,0.9932018850000002
7,Center_TL,0.961,0.99322636
7,Center_TR,0.95935,0.992172205
7,Center_BL,0.98075,0.9981037199999999
7,Center_BR,0.97615,0.9967220200000001
11,Corner_TL,0.98375,0.9988277400000001
11,Corner_TR,0.98445,0.99876186
11,Corner_BL,0.97125,0.99638279
11,Corner_BR,0.9723,0.9963739149999998
11,Center_TL,0.95905,0.9931389799999999
11,Center_TR,0.9563,0.9924112299999998
11,Center_BL,0.97305,0.99653739
11,Center_BR,0.9693,0.995307865
15,Corner_TL,0.9719,0.9958050599999999
15,Corner_TR,0.97475,0.99667978
15,Corner_BL,0.9445,0.9874845649999999
15,Corner_BR,0.95135,0.988751685
15,Center_TL,0.94925,0.9898929999999999
15,Center_TR,0.9508,0.9888457350000002
15,Center_BL,0.9658,0.994381925
15,Center_BR,0.9574,0.991533405
19,Corner_TL,0.97505,0.99659654
19,Corner_TR,0.97785,0.9973829999999999
19,Corner_BL,0.95105,0.9895946200000001
19,Corner_BR,0.9573,0.991814485
19,Center_TL,0.949,0.98876559
19,Center_TR,0.9474,0.9878476850000001
19,Center_BL,0.9604,0.9920425549999999
19,Center_BR,0.9453,0.987090095
23,Corner_TL,0.9863,0.9989553200000001
23,Corner_TR,0.9875,0.99921318
23,Corner_BL,0.97995,0.9979659999999999
23,Corner_BR,0.9812,0.9981742400000001
23,Center_TL,0.97945,0.9978470800000001
23,Center_TR,0.9783,0.9974443999999999
23,Center_BL,0.9829,0.99812095
23,Center_BR,0.97855,0.9979655799999999
